id,superid,impcost,impcost_adj,payback,reference_year,reference_ppi,fy,arc2,conserved,saved
UM0054,UM005404,17000.0,32130.0,1.6536964980545,2024,262.98,1996,2.7231,2240.0,10280.0
UM0063,UM006303,4000.0,9400.0,0.21276595744681,2024,278.19,1996,2.7442,4508.0,18800.0
UM0080,UM008005,800.0,1472.0,3.1128404669261,2024,262.98,1997,2.4221,2638.0,257.0
UM0083,UM008305,4130.0,7599.2,1.4687055476529,2024,262.98,1997,2.7447,698.0,2812.0
UM0086,UM008603,600.0,1104.0,1.0,2024,262.98,1997,2.4221,3224.0,521.0
UM0095,UM009504,400.0,736.0,0.58139534883721,2024,262.98,1997,2.7135,17292.0,688.0
UM0098,UM009804,700.0,1589.0,0.31503150315032,2024,278.19,1997,2.4236,23447.0,2222.0
UM0110,UM011004,800.0,1440.0,2.6578073089701,2024,262.98,1998,2.4221,4396.0,176.0
UM0117,UM011704,658.0,1184.4,0.1985515992758,2024,262.98,1998,2.7447,852.0,3314.0
UM0148,UM014802,500.0,1040.0,0.46772684752105,2024,427.93,1999,2.2437,202.0,1069.0
UM0187,UM018705,1688.0,2768.32,1.3197810789679,2024,243.25,2001,2.7142,25160.0,745.0
UM0215,UM021505,31.0,41.54,0.084699453551913,2024,189.87,2002,2.2511,3809.0,366.0
UM0243,UM024306,100.0,164.0,0.019677292404565,2024,262.98,2003,2.4221,46019.0,3229.0
UM0255,UM025506,2960.0,4736.0,1.491935483871,2024,243.25,2004,2.7142,31691.0,1562.0
UM0262,UM026207,27856.0,46240.96,5.8631866975374,2024,262.98,2004,2.7135,98103.0,4751.0
UM0279,UM027905,500.0,710.0,0.26455026455026,2024,239.54,2005,2.1233,262.0,1890.0
UM0292,UM029206,368.0,581.44,0.45,2024,262.98,2005,2.7135,22098.0,821.0
UM0315,UM031508,225.0,384.75,0.43,2024,278.19,2006,2.4236,6651.0,362.0
UM0323,UM032313,206.0,300.76,0.4,2024,262.98,2007,2.4221,5909.0,434.0
UM0334,UM033407,500.0,795.0,1.17,2024,278.19,2008,2.7111,4648.0,250.0
UM0343,UM034306,750.0,1192.5,0.32,2024,278.19,2008,2.4236,24041.0,1199.0
UM0349,UM034904,100.0,125.0,0.21,2024,239.54,2009,2.4231,5902.0,198.0
UM0360,UM036009,2000.0,2460.0,0.29,2024,239.54,2010,2.7263,139651.0,6913.0
UM0370,UM037010,9300.0,10230.0,8.04,2024,189.4,2010,2.7494,127.0,1156.0
UU0011,UU001105,140.0,271.6,0.18791946308725,2024,278.19,2001,2.4236,24594.0,537.0
UU0025,UU002505,1760.0,3520.0,0.55398174378344,2024,427.93,2002,2.2437,497.0,3177.0
UU0066,UU006606,80.0,144.0,0.40201005025126,2024,278.19,2004,2.7124,3344.0,100.0
UU0082,UU008205,540.0,945.0,0.03,2024,278.19,2005,2.4236,697900.0,16140.0
UU0099,UU009906,2510.0,4292.1,0.78,2024,278.19,2006,2.4236,92170.0,2720.0
UU0106,UU010606,500.0,855.0,0.85,2024,278.19,2006,2.7124,13140.0,360.0
UW0031,UW003104,61.0,69.54,0.42,2024,189.87,2009,2.2511,2222.0,144.0
UW0036,UW003605,825.0,965.25,1.98,2024,216.87,2010,2.4133,4087.0,363.0
WI0084,WI008406,250.0,542.5,0.52301255230126,2024,262.98,1990,2.7261,145.0,478.0
WI0098,WI009810,509.0,1415.02,1.4883040935673,2024,278.19,1990,2.1131,98.0,342.0
WI0118,WI011815,700.0,1288.0,1.9390581717452,2024,239.54,1991,2.7226,3224.0,361.0
WI0134,WI013407,50.0,133.0,0.1,2024,278.19,1991,2.3131,,500.0
WI0148,WI014807,640.0,1324.8,4.7761194029851,2024,262.98,1992,2.4221,1758.0,134.0
WI0155,WI015507,1280.0,2649.6,3.3595800524934,2024,262.98,1992,2.4221,5862.0,381.0
WI0158,WI015807,1800.0,3726.0,3.3834586466165,2024,262.98,1992,2.4221,8206.0,532.0
WI0169,WI016905,1600.0,3248.0,2.8070175438596,2024,262.98,1993,2.7135,7913.0,570.0
WI0171,WI017108,375.0,761.25,0.7183908045977,2024,262.98,1993,2.7447,94.0,522.0
WI0222,WI022209,101.0,145.44,0.44690265486726,2024,189.87,1994,2.2511,4103.0,226.0
WI0231,WI023107,250.0,485.0,0.3030303030303,2024,262.98,1995,2.7447,162.0,825.0
WI0262,WI026206,700.0,1323.0,1.6018306636156,2024,262.98,1996,2.7447,104.0,437.0
WI0286,WI028614,328.0,495.28,0.62239089184061,2024,243.25,1997,2.7142,12309.0,318.0
WI0302,WI030209,600.0,1104.0,2.135231316726,2024,262.98,1997,2.7135,7034.0,281.0
WI0325,WI032506,740.0,1332.0,0.97883597883598,2024,262.98,1998,2.4221,15240.0,368.0
WI0354,WI035411,800.0,1664.0,2.2222222222222,2024,427.93,1999,2.2437,71.0,360.0
WI0358,WI035807,107.0,170.13,0.32326283987915,2024,243.25,1999,2.7142,5569.0,231.0
WI0381,WI038110,687.0,1181.64,1.6474820143885,2024,262.98,2000,2.4111,2638.0,92.0
WI0392,WI039209,640.0,1081.6,2.8699551569507,2024,262.98,2001,2.4221,3012.0,97.0
WI0400,WI040009,400.0,676.0,1.9138755980861,2024,262.98,2001,2.7261,37.0,209.0
WI0401,WI040110,2000.0,3880.0,0.85506626763574,2024,278.19,2001,2.3131,36175.0,1208.0
WI0412,WI041209,502.0,833.32,1.1980906921241,2024,262.98,2002,2.4111,10776.0,309.0
WI0428,WI042809,616.0,1022.56,0.76807980049875,2024,262.98,2002,2.4111,19893.0,543.0
WI0508,WI050810,600.0,906.0,0.52,2024,262.98,2006,2.7135,41472.0,1154.0
WI0520,WI052006,350.0,528.5,2.59,2024,262.98,2006,2.7261,3435.0,135.0
WV0003,WV000308,1790.0,4510.8,0.36045106725735,2024,278.19,1993,2.2525,123095.0,4966.0
WV0004,WV000404,347.0,704.41,1.8167539267016,2024,262.98,1993,2.7447,51.0,191.0
WV0040,WV004011,250.0,592.5,1.1737089201878,2024,427.93,1994,2.2437,34.0,213.0
WV0042,WV004207,200.0,490.0,0.58823529411765,2024,278.19,1994,2.7124,14068.0,340.0
WV0048,WV004806,91.0,126.49,1.1666666666667,2024,189.87,1995,2.2511,10.0,78.0
WV0055,WV005507,3780.0,7333.2,1.4264150943396,2024,262.98,1995,2.1213,369.0,2650.0
WV0139,WV013907,448.0,806.4,1.1256281407035,2024,262.98,1998,2.4221,15826.0,398.0
WV0140,WV014007,383.0,578.33,0.34044444444444,2024,243.25,1998,2.7142,23154.0,1125.0
WV0148,WV014803,825.0,1724.25,0.14300572022881,2024,427.93,1998,2.2442,1653.0,5769.0
WV0149,WV014915,960.0,1728.0,0.7032967032967,2024,262.98,1998,2.4111,45135.0,1365.0
WV0157,WV015711,224.0,477.12,0.058761804826863,2024,278.19,1999,2.7124,98183.0,3812.0
WV0198,WV019808,23.0,36.11,0.010742643624475,2024,239.54,2000,2.4231,33705.0,2141.0
